Date,Open,High,Low,Close,Volume,Currency
2020-01-02,7400.13,7503.11,7400.13,7485.43,120877400,EUR
2020-01-03,7445.52,7450.32,7351.83,7406.16,115725600,EUR
2020-01-06,7332.27,7360.64,7256.51,7351.84,110351400,EUR
2020-01-07,7376.94,7431.17,7368.09,7396.62,115720704,EUR
2020-01-08,7367.36,7451.69,7330.04,7446.01,129875696,EUR
2020-01-09,7525.17,7545.86,7512.34,7532.51,134306096,EUR
2020-01-10,7546.64,7553.67,7522.86,7522.86,111655104,EUR
2020-01-13,7539.73,7549.29,7489.36,7507.72,104627200,EUR
2020-01-14,7506.54,7525.53,7457.13,7512.23,113310304,EUR
2020-01-15,7510.75,7515.37,7473.42,7496.5,119387200,EUR
2020-01-16,7519.48,7532.18,7478.43,7496.63,61451300,EUR
2020-01-17,7535.07,7571.22,7534.1,7557.25,131554704,EUR
2020-01-20,7550.01,7576.23,7544.24,7576.11,86741504,EUR
2020-01-21,7537.43,7574.34,7514.98,7574.34,101132496,EUR
2020-01-22,7599.37,7616.43,7554.05,7560.68,116692000,EUR
2020-01-23,7534.07,7541.82,7483.77,7485.92,132518096,EUR
2020-01-24,7515.83,7605.86,7515.83,7591.67,127001600,EUR
2020-01-27,7495.74,7495.74,7381.53,7384.52,143928800,EUR
2020-01-28,7410.6,7449.48,7358.84,7445.94,140284704,EUR
2020-01-29,7447.53,7481.52,7439.37,7468.15,118254600,EUR
2020-01-30,7377.06,7421.36,7347.88,7365.71,140466096,EUR
2020-01-31,7382.92,7399.11,7275.78,7278.96,158766592,EUR
2020-02-03,7303.46,7328.24,7283.2,7312.05,123884600,EUR
2020-02-04,7341.38,7443.3,7341.38,7443.3,122677296,EUR
2020-02-05,7434.03,7551.73,7416.77,7542.78,168132992,EUR
2020-02-06,7572.46,7610.17,7566.12,7590.21,168327808,EUR
2020-02-07,7568.09,7580.11,7528.66,7551.11,152050304,EUR
2020-02-10,7533.0,7547.96,7515.9,7547.96,97037904,EUR
2020-02-11,7587.02,7646.09,7584.07,7630.2,147316400,EUR
2020-02-12,7643.27,7689.4,7643.27,7683.34,130833904,EUR
2020-02-13,7663.57,7673.64,7592.07,7671.78,160191200,EUR
2020-02-14,7682.9,7694.3,7660.05,7667.47,118757800,EUR
2020-02-17,7675.61,7693.18,7668.07,7691.41,99149296,EUR
2020-02-18,7627.84,7660.54,7625.6,7632.92,131831296,EUR
2020-02-19,7662.64,7698.61,7651.68,7698.5,137652400,EUR
2020-02-20,7693.06,7699.45,7635.53,7635.53,134503104,EUR
2020-02-21,7600.56,7646.12,7545.79,7586.2,160427504,EUR
2020-02-24,7412.44,7412.44,7250.62,7282.65,232932608,EUR
2020-02-25,7315.52,7335.95,7143.22,7146.96,198131904,EUR
2020-02-26,7080.95,7164.88,6895.93,7123.72,251778304,EUR
2020-02-27,7005.96,7022.21,6806.85,6890.99,266092096,EUR
2020-02-28,6645.63,6694.26,6542.0,6630.07,392516000,EUR
2020-03-02,6738.28,6763.52,6483.89,6613.65,293169696,EUR
2020-03-03,6698.17,6846.73,6670.97,6706.24,289479488,EUR
2020-03-04,6708.24,6814.37,6676.92,6772.21,226575008,EUR
2020-03-05,6812.8,6820.81,6618.47,6666.09,238781408,EUR
2020-03-06,6533.05,6562.83,6380.75,6430.74,288099904,EUR
2020-03-09,5948.35,6120.61,5905.42,5932.03,426865792,EUR
2020-03-10,5954.55,6164.04,5835.72,5860.69,381320288,EUR
2020-03-11,5937.23,6010.98,5804.37,5823.93,312541888,EUR
2020-03-12,5524.46,5524.46,5116.03,5121.02,530828288,EUR
2020-03-13,5315.99,5565.74,5083.99,5164.19,457594112,EUR
2020-03-16,4929.29,4995.14,4614.99,4891.91,431587904,EUR
2020-03-17,5070.55,5109.32,4708.97,4951.66,327808000,EUR
2020-03-18,4816.27,4816.27,4637.15,4658.54,316323808,EUR
2020-03-19,4665.29,4788.78,4574.14,4769.83,312750304,EUR
2020-03-20,5054.73,5096.83,4922.39,4975.21,434823616,EUR
2020-03-23,4792.93,5023.98,4727.68,4849.43,273571904,EUR
2020-03-24,5120.99,5329.9,5048.23,5329.9,292579904,EUR
2020-03-25,5504.87,5569.56,5221.37,5437.88,294337216,EUR
2020-03-26,5346.13,5550.97,5290.72,5550.97,235507696,EUR
2020-03-27,5452.32,5483.54,5289.24,5343.0,215245696,EUR
2020-03-30,5395.14,5415.54,5230.54,5415.54,193405600,EUR
2020-03-31,5507.06,5565.55,5373.34,5484.82,237024192,EUR
2020-04-01,5431.14,5431.14,5249.51,5272.7,193180496,EUR
2020-04-02,5298.16,5313.95,5170.84,5282.57,202236608,EUR
2020-04-03,5263.35,5308.0,5233.62,5255.62,167398208,EUR
2020-04-06,5454.95,5545.95,5427.97,5534.86,182428800,EUR
2020-04-07,5740.46,5810.22,5622.01,5684.84,222601408,EUR
2020-04-08,5651.23,5689.6,5610.82,5689.6,165368800,EUR
2020-04-09,5769.21,5856.83,5689.07,5815.18,202008704,EUR
2020-04-14,5901.87,5950.22,5871.66,5886.36,160732704,EUR
2020-04-15,5873.97,5877.92,5649.83,5666.4,205915696,EUR
2020-04-16,5738.99,5754.18,5648.12,5679.56,174218496,EUR
2020-04-17,5759.87,5913.22,5759.3,5853.69,212346896,EUR
2020-04-20,5899.37,5899.37,5764.33,5879.03,145983696,EUR
2020-04-21,5795.08,5799.8,5657.96,5657.96,174623904,EUR
2020-04-22,5721.37,5752.09,5702.12,5749.44,135741104,EUR
2020-04-23,5760.85,5849.93,5705.74,5803.74,149466096,EUR
2020-04-24,5701.73,5783.79,5694.34,5710.25,167896992,EUR
2020-04-27,5801.21,5861.92,5797.53,5861.92,174558896,EUR
2020-04-28,5872.15,5984.15,5856.02,5934.96,210777792,EUR
2020-04-29,5943.83,6107.2,5928.38,6104.84,204490000,EUR
2020-04-30,6150.63,6168.88,5968.95,5980.46,232791504,EUR
2020-05-04,5861.15,5861.15,5750.34,5778.47,203011392,EUR
2020-05-05,5841.5,5931.88,5819.31,5929.29,162151904,EUR
2020-05-06,5922.47,5949.06,5864.38,5868.11,150967696,EUR
2020-05-07,5892.52,5972.97,5885.11,5972.97,158398000,EUR
2020-05-08,6024.19,6054.37,6005.44,6045.76,135639200,EUR
2020-05-11,6070.42,6086.37,5961.51,6004.25,144397792,EUR
2020-05-12,5978.77,6032.31,5978.77,5994.82,160589104,EUR
2020-05-13,5920.36,5938.89,5857.46,5862.03,177387392,EUR
2020-05-14,5796.08,5817.77,5657.32,5744.28,212268704,EUR
2020-05-15,5803.79,5849.44,5771.03,5811.23,177816192,EUR
2020-05-18,5916.2,6128.2,5913.59,6115.62,182590496,EUR
2020-05-19,6179.97,6180.07,6055.14,6127.36,199107600,EUR
2020-05-20,6102.45,6218.0,6071.95,6208.41,155713504,EUR
2020-05-21,6141.64,6203.41,6122.16,6135.2,113126200,EUR
2020-05-22,6048.7,6173.65,6037.18,6146.78,134891904,EUR
2020-05-25,6197.39,6318.42,6177.23,6318.42,105877800,EUR
2020-05-26,6382.74,6405.72,6345.88,6388.47,186303600,EUR
2020-05-27,6400.69,6486.21,6390.92,6434.11,253314304,EUR
2020-05-28,6480.4,6526.32,6445.5,6512.22,189286304,EUR
2020-05-29,6446.3,6489.2,6409.14,6415.85,295198016,EUR
2020-06-02,6507.28,6658.41,6507.07,6645.66,223350896,EUR
2020-06-03,6707.34,6887.21,6707.25,6881.05,223144992,EUR
2020-06-04,6842.94,6917.02,6804.69,6867.71,212863200,EUR
2020-06-05,6943.28,7080.07,6942.2,7080.07,257322000,EUR
2020-06-08,7026.88,7101.36,6991.56,7055.12,217132608,EUR
2020-06-09,7065.96,7085.85,6881.0,6938.01,227290400,EUR
2020-06-10,6984.15,7019.79,6870.77,6892.67,173225904,EUR
2020-06-11,6780.53,6780.53,6596.63,6596.63,199290096,EUR
2020-06-12,6534.31,6706.54,6518.62,6584.11,178897504,EUR
2020-06-15,6461.43,6591.81,6394.6,6566.49,151528000,EUR
2020-06-16,6708.19,6835.9,6686.14,6776.3,181916704,EUR
2020-06-17,6774.74,6837.41,6769.26,6814.07,148198400,EUR
2020-06-18,6796.35,6870.1,6726.85,6770.02,214047392,EUR
2020-06-19,6812.2,6852.88,6785.97,6799.06,348068512,EUR
2020-06-22,6730.54,6826.94,6713.69,6755.19,141876192,EUR
2020-06-23,6812.68,6926.27,6796.14,6876.63,167416896,EUR
2020-06-24,6851.41,6863.06,6651.15,6651.15,156061792,EUR
2020-06-25,6654.62,6730.98,6584.63,6706.79,199290592,EUR
2020-06-26,6770.75,6793.53,6644.36,6655.59,162584704,EUR
2020-06-29,6647.1,6750.09,6628.77,6719.83,167667600,EUR
2020-06-30,6761.94,6782.3,6709.68,6765.05,173316608,EUR
2020-07-01,6736.63,6796.01,6656.46,6757.31,125878304,EUR
2020-07-02,6823.59,6962.31,6817.98,6939.56,160923904,EUR
2020-07-03,6966.93,6966.93,6879.25,6904.34,86783296,EUR
2020-07-06,7004.41,7061.98,6979.06,7021.49,126449696,EUR
2020-07-07,6995.66,6995.66,6913.6,6962.2,135026896,EUR
2020-07-08,6924.96,6974.51,6887.33,6901.8,123160704,EUR
2020-07-09,6927.37,7010.99,6883.18,6893.6,132278896,EUR
2020-07-10,6870.53,6968.68,6858.72,6962.73,117548896,EUR
2020-07-13,7044.23,7062.85,6998.56,7054.74,116283904,EUR
2020-07-14,6991.96,6994.08,6910.32,6989.13,127356200,EUR
2020-07-15,7050.9,7150.65,7036.76,7116.42,132646704,EUR
2020-07-16,7082.12,7109.85,7053.45,7087.05,113715904,EUR
2020-07-17,7101.78,7120.56,7078.27,7098.2,114751104,EUR
2020-07-20,7098.47,7173.01,7042.77,7166.19,96059600,EUR
2020-07-21,7248.21,7306.99,7220.59,7230.95,141638000,EUR
2020-07-22,7226.44,7244.82,7180.64,7210.21,108227504,EUR
2020-07-23,7243.7,7256.39,7186.73,7201.5,102696000,EUR
2020-07-24,7132.99,7133.91,7030.13,7045.47,106584896,EUR
2020-07-27,7024.21,7077.97,7023.29,7046.22,102864400,EUR
2020-07-28,7075.73,7094.79,7005.14,7051.59,93387000,EUR
2020-07-29,7048.88,7073.83,7041.22,7051.02,110380200,EUR
2020-07-30,7036.54,7036.54,6763.98,6829.52,154290496,EUR
2020-07-31,6847.51,6909.03,6798.57,6798.57,132333400,EUR
2020-08-03,6835.36,6992.7,6821.39,6970.43,122778400,EUR
2020-08-04,7011.69,7032.36,6908.27,6943.99,118355504,EUR
2020-08-05,6981.35,7032.64,6972.64,6989.51,123785296,EUR
2020-08-06,6977.28,7060.93,6924.13,6956.57,112846096,EUR
2020-08-07,6960.09,7015.75,6926.58,7013.74,90517296,EUR
2020-08-10,7028.89,7051.67,6979.97,7020.48,86655104,EUR
2020-08-11,7084.61,7207.28,7084.61,7159.66,130878704,EUR
2020-08-12,7139.82,7236.38,7122.2,7214.92,115025800,EUR
2020-08-13,7196.01,7213.88,7159.99,7181.45,118432600,EUR
2020-08-14,7176.11,7176.11,7067.45,7116.81,99079904,EUR
2020-08-17,7121.05,7150.19,7082.11,7134.44,79213000,EUR
2020-08-18,7104.13,7194.65,7075.94,7105.57,92635400,EUR
2020-08-19,7093.93,7153.36,7082.59,7153.36,85270896,EUR
2020-08-20,7079.06,7106.5,7041.02,7079.18,92093400,EUR
2020-08-21,7116.97,7124.91,6977.48,7053.9,112457104,EUR
2020-08-24,7133.38,7223.5,7133.38,7206.8,96240096,EUR
2020-08-25,7254.14,7283.97,7203.79,7203.79,90085400,EUR
2020-08-26,7189.31,7273.71,7179.99,7273.71,83168600,EUR
2020-08-27,7280.94,7285.58,7221.55,7223.93,95431504,EUR
2020-08-28,7247.86,7247.86,7146.36,7188.26,108599504,EUR
2020-08-31,7223.84,7250.68,7131.93,7141.89,101281904,EUR
2020-09-01,7181.59,7234.87,7092.56,7158.93,110165600,EUR
2020-09-02,7195.93,7332.29,7187.37,7298.42,126027104,EUR
2020-09-03,7342.81,7405.34,7154.16,7179.04,136815808,EUR
2020-09-04,7138.04,7226.5,7013.91,7063.66,163899392,EUR
2020-09-07,7105.77,7221.57,7105.77,7216.8,91461904,EUR
2020-09-08,7234.11,7234.11,7071.21,7134.77,126773296,EUR
2020-09-09,7132.99,7280.84,7132.99,7268.73,113119296,EUR
2020-09-10,7287.02,7298.15,7226.59,7251.61,91838000,EUR
2020-09-11,7239.14,7270.89,7198.25,7240.96,96741200,EUR
2020-09-14,7298.61,7313.32,7236.01,7251.48,86680600,EUR
2020-09-15,7272.11,7278.47,7223.39,7255.54,103760000,EUR
2020-09-16,7260.8,7293.65,7246.77,7283.87,104218496,EUR
2020-09-17,7177.67,7279.41,7177.67,7260.23,98719000,EUR
2020-09-18,7251.73,7286.18,7213.02,7213.1,294066816,EUR
2020-09-21,7183.74,7183.74,6889.51,6906.66,194170592,EUR
2020-09-22,6943.59,6988.94,6934.44,6934.44,118976000,EUR
2020-09-23,6984.68,7058.33,6962.64,6962.64,110226200,EUR
2020-09-24,6891.17,6964.22,6883.31,6926.03,110206304,EUR
2020-09-25,6932.31,6932.31,6790.28,6867.54,116615800,EUR
2020-09-28,6976.11,7073.98,6967.74,7072.16,126960400,EUR
2020-09-29,7047.44,7068.44,7004.54,7052.19,84724704,EUR
2020-09-30,7003.74,7075.21,6987.1,7024.98,116960496,EUR
2020-10-01,7051.18,7072.38,7002.1,7034.37,130080496,EUR
2020-10-02,6990.41,7010.28,6929.67,7009.84,109353800,EUR
2020-10-05,7056.22,7098.34,7040.91,7092.98,105241296,EUR
2020-10-06,7108.3,7161.28,7070.82,7124.25,110901800,EUR
2020-10-07,7125.75,7149.99,7089.87,7128.76,105842304,EUR
2020-10-08,7173.15,7221.06,7146.83,7190.65,106859296,EUR
2020-10-09,7193.46,7221.61,7182.03,7204.55,96743200,EUR
2020-10-12,7220.51,7257.78,7210.82,7250.5,85323296,EUR
2020-10-13,7250.07,7250.07,7156.29,7182.91,97788896,EUR
2020-10-14,7189.84,7207.49,7164.71,7185.53,90390304,EUR
2020-10-15,7079.2,7080.24,6960.89,7021.14,128285296,EUR
2020-10-16,7053.86,7153.64,7042.84,7128.83,130028496,EUR
2020-10-19,7154.47,7191.86,7091.62,7107.65,82672200,EUR
2020-10-20,7097.09,7111.14,7047.58,7047.58,112452896,EUR
2020-10-21,7061.4,7061.4,6934.55,6939.08,103210000,EUR
2020-10-22,6891.85,6953.13,6826.89,6933.1,105527000,EUR
2020-10-23,6918.02,7021.63,6918.02,6985.59,99214704,EUR
2020-10-26,6924.22,6924.22,6720.21,6720.4,124815000,EUR
2020-10-27,6731.92,6744.73,6654.49,6664.96,135154000,EUR
2020-10-28,6569.81,6569.81,6357.08,6407.46,207986592,EUR
2020-10-29,6417.47,6482.73,6350.72,6420.6,163962592,EUR
2020-10-30,6356.41,6434.09,6346.35,6398.2,136991600,EUR
2020-11-02,6425.82,6535.12,6399.36,6514.2,121982600,EUR
2020-11-03,6549.98,6674.88,6549.98,6674.88,130451296,EUR
2020-11-04,6588.33,6814.34,6560.68,6814.15,155341504,EUR
2020-11-05,6875.3,6947.07,6858.77,6936.5,149159392,EUR
2020-11-06,6904.29,6942.66,6831.35,6889.05,127041600,EUR
2020-11-09,7012.33,7305.27,6995.12,7187.94,321093888,EUR
2020-11-10,7204.29,7269.13,7152.71,7231.23,252095296,EUR
2020-11-11,7252.96,7293.48,7233.34,7278.97,162126592,EUR
2020-11-12,7246.94,7258.17,7187.41,7202.56,136963600,EUR
2020-11-13,7178.64,7256.81,7178.64,7223.54,132210096,EUR
2020-11-16,7264.03,7333.45,7238.07,7264.92,152282704,EUR
2020-11-17,7259.16,7267.2,7214.98,7255.27,111844000,EUR
2020-11-18,7231.79,7298.01,7228.41,7293.13,110618200,EUR
2020-11-19,7263.09,7267.76,7208.16,7240.66,119002496,EUR
2020-11-20,7220.21,7287.43,7218.39,7274.4,107235504,EUR
2020-11-23,7311.45,7359.47,7271.46,7271.46,118169200,EUR
2020-11-24,7334.41,7346.64,7311.77,7344.11,140239904,EUR
2020-11-25,7370.78,7373.34,7316.71,7342.66,133297696,EUR
2020-11-26,7367.67,7367.67,7338.38,7347.31,77220896,EUR
2020-11-27,7339.59,7393.85,7339.59,7380.9,104975600,EUR
2020-11-30,7354.79,7441.79,7345.5,7358.02,241130208,EUR
2020-12-01,7396.5,7431.37,7385.82,7400.43,114504400,EUR
2020-12-02,7383.61,7392.57,7343.23,7366.39,113028000,EUR
2020-12-03,7369.36,7369.36,7321.77,7345.43,111128200,EUR
2020-12-04,7339.91,7384.9,7339.91,7380.53,107380304,EUR
2020-12-07,7360.78,7373.55,7306.94,7365.28,93463800,EUR
2020-12-08,7360.95,7385.32,7335.06,7377.23,93712096,EUR
2020-12-09,7404.0,7448.52,7396.68,7400.14,122768400,EUR
2020-12-10,7404.13,7415.29,7337.46,7383.48,118888000,EUR
2020-12-11,7365.52,7371.4,7241.44,7299.75,133943104,EUR
2020-12-14,7347.04,7386.3,7332.13,7351.58,104094496,EUR
2020-12-15,7343.11,7418.04,7339.52,7411.16,116776400,EUR
2020-12-16,7439.4,7524.69,7439.4,7509.9,121437904,EUR
2020-12-17,7566.82,7588.38,7547.9,7567.42,127884304,EUR
2020-12-18,7549.07,7621.17,7548.26,7561.05,239573296,EUR
2020-12-21,7426.96,7426.96,7262.65,7364.58,156418208,EUR
2020-12-22,7401.41,7464.38,7400.55,7459.81,90063200,EUR
2020-12-23,7482.2,7554.44,7482.2,7546.88,79012096,EUR
2020-12-28,7610.77,7662.3,7610.77,7646.9,81757200,EUR
2020-12-29,7686.5,7714.6,7640.75,7649.63,80538496,EUR
2020-12-30,7645.56,7668.49,7623.11,7623.11,48320300,EUR
2021-01-04,7676.32,7727.08,7596.73,7632.54,120424400,EUR
2021-01-05,7597.37,7649.69,7563.84,7606.58,116054600,EUR
2021-01-06,7630.23,7725.79,7591.29,7713.32,144255296,EUR
2021-01-07,7746.95,7770.94,7715.63,7751.38,133169104,EUR
2021-01-08,7793.56,7835.46,7771.66,7793.59,129911400,EUR
2021-01-11,7770.55,7775.99,7672.57,7731.52,111467000,EUR
2021-01-12,7756.96,7766.01,7706.97,7730.91,116993800,EUR
2021-01-13,7734.76,7762.2,7705.45,7742.69,115444704,EUR
2021-01-14,7760.63,7795.49,7756.72,7783.07,120290200,EUR
2021-01-15,7739.28,7756.1,7609.86,7667.35,144265200,EUR
2021-01-18,7627.05,7700.15,7627.05,7700.15,82748704,EUR
2021-01-19,7750.01,7750.01,7686.59,7691.71,117997200,EUR
2021-01-20,7714.67,7773.68,7706.19,7754.7,104443000,EUR
2021-01-21,7805.54,7814.48,7740.35,7753.44,103026200,EUR
2021-01-22,7718.42,7742.56,7666.88,7732.34,116321400,EUR
2021-01-25,7764.77,7772.62,7595.07,7616.3,131015400,EUR
2021-01-26,7622.78,7756.63,7620.31,7722.98,124597696,EUR
